Contexto,Arquivo,Média,Exec #1,Exec #2,Exec #3,Exec #4,Exec #5,Exec #6,Exec #7,Exec #8,Exec #9,Exec #10,Exec #11,Exec #12,Exec #13,Exec #14,Exec #15,Exec #16,Exec #17,Exec #18,Exec #19,Exec #20,Exec #21,Exec #22,Exec #23,Exec #24,Exec #25,Exec #26,Exec #27,Exec #28,Exec #29,Exec #30,Exec #31,Exec #32,Exec #33,Exec #34,Exec #35,Exec #36,Exec #37,Exec #38,Exec #39,Exec #40,Exec #41,Exec #42,Exec #43,Exec #44,Exec #45,Exec #46,Exec #47,Exec #48,Exec #49,Exec #50
Basics,categories.sql,"0,00434","0,024","0,008","0,005","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,003","0,003","0,003","0,003","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,003","0,004","0,003","0,003","0,004","0,003"
Basics,employees.sql,"0,00636","0,018","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,007","0,01","0,006","0,006","0,006","0,006","0,006","0,006","0,007","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006"
Basics,locations.sql,"0,0034000000000000002","0,016","0,005","0,004","0,004","0,004","0,004","0,003","0,004","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003"
Basics,sold_items.sql,"0,873","1,105","0,782","0,753","0,809","1,163","0,943","0,834","0,745","0,813","0,795","0,848","0,851","0,835","0,743","0,811","0,799","0,739","0,739","0,808","0,841","0,934","0,792","0,887","0,816","0,79","0,818","0,722","0,74","0,746","0,791","0,757","0,767","0,856","0,883","0,879","0,854","0,818","0,887","0,864","1,203","1,506","1,426","0,857","0,881","0,9","0,888","0,903","0,928","0,907","0,894"
Basics,count_categories.sql,"0,00772","0,019","0,01","0,008","0,008","0,008","0,008","0,007","0,008","0,011","0,011","0,009","0,009","0,008","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,01","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007"
Basics,products.sql,"0,02254","0,035","0,021","0,021","0,02","0,021","0,02","0,02","0,02","0,02","0,021","0,02","0,021","0,021","0,02","0,02","0,02","0,02","0,021","0,021","0,02","0,02","0,02","0,02","0,02","0,021","0,02","0,021","0,022","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,021","0,027","0,029","0,037","0,024","0,025","0,023","0,023","0,023","0,03","0,033","0,028","0,023","0,022","0,032"
Basics,count_products.sql,"0,02486","0,027","0,024","0,024","0,022","0,024","0,024","0,024","0,022","0,024","0,021","0,026","0,023","0,023","0,023","0,026","0,024","0,024","0,024","0,022","0,024","0,022","0,025","0,021","0,021","0,021","0,021","0,021","0,023","0,022","0,021","0,023","0,023","0,023","0,023","0,021","0,024","0,021","0,023","0,021","0,027","0,044","0,038","0,036","0,035","0,031","0,025","0,025","0,025","0,025","0,037"
Basics,suppliers.sql,"0,00422","0,031","0,015","0,007","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,004","0,004"
Basics,purchase_orders.sql,"0,01658","0,034","0,016","0,015","0,014","0,014","0,014","0,014","0,014","0,014","0,018","0,015","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,015","0,014","0,014","0,014","0,02","0,029","0,032","0,014","0,014","0,016","0,016","0,016","0,016","0,026","0,024","0,016","0,019","0,017","0,017","0,017","0,017","0,017","0,017","0,017","0,017"
Basics,count_purchase_orders.sql,"0,02136","0,021","0,017","0,023","0,023","0,016","0,016","0,016","0,019","0,021","0,024","0,02","0,044","0,025","0,017","0,017","0,016","0,016","0,036","0,031","0,026","0,026","0,035","0,024","0,019","0,019","0,018","0,018","0,018","0,018","0,019","0,021","0,023","0,025","0,021","0,018","0,02","0,017","0,025","0,023","0,021","0,018","0,023","0,02","0,02","0,02","0,021","0,02","0,018","0,018","0,018"
